subject,grade,current_score,target_score,duration_weeks,daily_study_hours,learning_style,success_rate
chemistry,12,7.1,9.0,10,2.6,practical,85.2
chemistry,12,7.2,8.5,10,3.0,theory,89.7
chemistry,12,7.4,8.6,8,2.9,combined,86.0
chemistry,12,7.6,9.3,6,3.2,theory,86.4
chemistry,12,7.7,9.2,8,3.8,practical,90.8
chemistry,12,7.7,9.3,4,3.6,combined,93.8
chemistry,12,8.7,9.6,4,2.2,combined,90.2
chemistry,12,8.8,9.8,8,2.8,practical,90.1
chemistry,12,8.9,9.6,8,2.9,theory,92.8
chemistry,12,9.1,10.0,4,3.9,combined,99.4
chemistry,12,9.2,10.0,6,3.1,theory,98.1
chemistry,12,9.3,10.0,2,3.1,practical,99.7
math,10,3.4,5.5,12,1.8,combined,52.1
math,10,3.5,5.3,12,1.1,practical,52.4
math,10,3.5,5.2,12,1.0,theory,46.6
math,10,4.3,5.7,12,2.7,practical,61.2
math,10,4.4,5.6,14,2.4,theory,55.5
math,10,4.5,6.3,10,2.7,combined,56.9
math,10,5.5,8.0,8,2.5,theory,65.5
math,10,5.9,7.6,12,2.3,practical,72.6
math,10,6.0,7.2,8,2.7,combined,67.1
math,10,6.1,8.1,6,3.1,practical,82.0
math,10,6.2,8.0,6,3.3,theory,84.5
math,10,6.3,8.0,6,3.9,combined,81.2
math,10,7.3,8.5,6,2.1,practical,84.6
math,10,7.4,8.8,10,2.6,combined,86.2
math,10,7.5,8.9,10,2.3,theory,89.8
math,10,7.7,9.4,4,3.5,practical,91.0
math,10,7.9,9.1,6,3.0,combined,91.1
math,10,8.0,9.2,6,3.1,theory,91.2
math,10,8.7,10.0,4,2.2,theory,93.0
math,10,8.7,9.6,4,2.1,combined,93.8
math,10,8.9,9.6,6,2.3,practical,91.4
math,10,9.2,10.0,6,3.2,practical,96.1
math,10,9.2,10.0,2,3.4,theory,96.8
math,10,9.3,10.0,2,3.8,combined,96.0
math,11,3.1,5.5,12,1.1,practical,48.9
math,11,3.2,5.2,12,1.4,combined,47.6
math,11,3.3,5.8,16,1.4,theory,47.2
math,11,4.2,5.7,10,2.1,theory,56.1
math,11,4.2,6.1,10,2.2,combined,57.5
math,11,4.3,6.0,12,2.7,practical,65.0
math,11,5.2,7.3,8,2.2,theory,70.9
math,11,5.4,7.3,10,2.0,practical,70.9
math,11,5.8,7.1,12,2.4,combined,73.8
math,11,5.8,8.3,10,3.1,combined,80.6
math,11,6.1,8.2,10,3.6,practical,81.9
math,11,6.3,8.1,6,3.1,theory,81.1
math,11,7.1,8.8,10,2.9,theory,80.7
math,11,7.2,8.8,6,2.3,practical,85.9
math,11,7.3,8.7,6,2.8,combined,84.0
math,11,7.8,9.4,4,3.4,theory,91.2
math,11,7.9,9.0,6,3.6,combined,88.4
math,11,8.0,9.2,8,3.9,practical,88.1
math,11,8.5,9.6,8,2.4,practical,94.8
math,11,8.7,9.5,8,2.1,theory,93.2
math,11,8.7,9.6,4,2.7,combined,90.6
math,11,9.0,10.0,6,3.9,combined,98.1
math,11,9.1,10.0,6,3.7,theory,95.2
math,11,9.4,10.0,6,3.9,practical,97.5
math,12,3.0,5.4,12,1.1,combined,45.8
math,12,3.6,5.4,14,1.7,practical,45.4
math,12,3.7,6.2,12,2.8,practical,55.8
math,12,3.9,5.8,12,1.3,theory,46.9
math,12,4.2,5.8,10,2.7,theory,56.9
math,12,4.4,6.1,12,2.7,combined,60.9
math,12,5.1,7.3,8,2.1,practical,72.8
math,12,5.4,7.9,12,2.7,combined,74.9
math,12,5.5,8.4,8,3.2,theory,79.8
math,12,5.6,7.6,6,3.9,practical,75.3
math,12,5.7,8.4,8,3.8,combined,79.2
math,12,6.0,7.3,12,2.8,theory,72.6
math,12,7.0,9.0,4,4.0,combined,85.0
math,12,7.4,8.9,6,2.9,theory,85.6
math,12,7.5,8.9,6,2.2,practical,80.2
math,12,7.5,8.7,6,2.4,combined,90.0
math,12,7.6,9.5,6,3.8,combined,94.9
math,12,7.7,9.3,8,3.8,theory,92.5
math,12,7.8,9.5,4,3.7,practical,89.1
math,12,8.8,9.6,4,2.7,practical,94.6
math,12,8.8,9.9,6,2.7,combined,91.6
math,12,8.9,9.9,6,2.4,theory,90.1
math,12,9.2,10.0,2,3.5,theory,99.9
math,12,9.4,10.0,6,3.8,practical,98.2
math,12,9.4,10.0,2,3.4,combined,95.8
physics,10,3.0,5.4,12,1.6,practical,48.4
physics,10,3.7,5.9,14,1.5,theory,53.5
physics,10,3.7,5.1,14,1.2,combined,50.4
physics,10,4.0,6.4,10,2.5,theory,57.9
physics,10,4.0,6.0,20,1.5,theory,60.0
physics,10,4.2,6.2,14,2.4,practical,58.4
physics,10,4.5,6.4,10,2.9,combined,60.9
physics,10,5.1,7.9,8,2.0,practical,71.4
physics,10,5.2,7.1,12,2.5,theory,73.4
physics,10,5.2,7.7,12,2.1,combined,68.0
physics,10,5.6,8.4,10,4.0,theory,77.0
physics,10,5.9,7.7,8,3.7,practical,78.1
physics,10,5.9,7.7,10,3.9,combined,82.5
physics,10,7.3,9.0,8,2.3,practical,83.2
physics,10,7.3,8.8,8,2.6,theory,87.7
physics,10,7.3,8.9,8,2.7,combined,87.9
physics,10,7.5,9.5,4,3.3,combined,87.8
physics,10,7.8,9.2,8,3.5,theory,91.7
physics,10,7.9,9.0,6,3.6,practical,86.1
physics,10,8.6,10.0,6,2.6,theory,93.9
physics,10,8.7,9.7,6,2.5,practical,94.1
physics,10,8.7,9.5,8,2.9,combined,92.6
physics,10,9.1,10.0,6,3.7,practical,96.5
physics,10,9.1,10.0,4,3.0,combined,95.4
physics,10,9.3,10.0,4,3.4,theory,96.5
physics,11,3.3,5.6,14,1.1,combined,50.1
physics,11,3.8,5.9,14,2.7,theory,55.2
physics,11,3.9,5.5,12,1.2,practical,45.8
physics,11,4.0,6.0,12,1.7,theory,50.7
physics,11,4.0,5.8,10,2.5,combined,59.4
physics,11,4.4,6.3,12,2.6,practical,64.2
physics,11,5.1,7.0,10,2.7,combined,66.3
physics,11,5.5,8.0,10,3.4,theory,75.3
physics,11,5.6,7.9,10,3.6,practical,76.4
physics,11,5.8,7.1,8,2.9,theory,67.6
physics,11,6.0,7.9,10,2.3,practical,71.7
physics,11,6.4,7.6,8,3.7,combined,79.7
physics,11,7.4,8.6,6,2.4,practical,81.2
physics,11,7.4,8.7,10,2.4,theory,87.3
physics,11,7.5,8.9,6,2.7,combined,80.9
physics,11,7.6,9.5,6,3.3,combined,87.3
physics,11,7.7,9.5,4,3.3,theory,88.8
physics,11,7.8,9.5,4,3.3,practical,88.4
physics,11,8.9,9.7,6,2.1,practical,90.1
physics,11,8.9,9.9,6,2.8,theory,93.2
physics,11,8.9,9.8,6,3.0,combined,92.1
physics,11,9.1,10.0,4,3.7,practical,98.9
physics,11,9.4,10.0,4,3.2,theory,99.6
physics,11,9.4,10.0,2,3.4,combined,99.6
physics,12,3.1,5.7,12,1.8,practical,48.2
physics,12,3.7,5.9,16,1.7,theory,46.2
physics,12,3.9,5.6,14,1.3,combined,51.0
physics,12,4.0,5.6,12,2.6,combined,56.9
physics,12,4.2,6.5,10,2.1,theory,56.6
physics,12,4.3,6.0,12,2.3,practical,55.9
physics,12,5.0,7.2,10,2.6,combined,70.5
physics,12,5.4,7.5,12,2.5,practical,65.5
physics,12,5.5,7.3,10,2.6,theory,65.2
physics,12,5.5,8.2,10,3.7,combined,75.5
physics,12,5.6,7.5,6,3.7,practical,84.6
physics,12,6.0,8.0,8,3.3,theory,77.8
physics,12,7.3,8.8,10,2.6,combined,86.4
physics,12,7.4,8.8,6,2.4,theory,80.3
physics,12,7.5,8.7,10,2.0,practical,84.1
physics,12,7.7,9.2,6,3.1,theory,88.4
physics,12,7.9,9.1,6,3.4,practical,93.5
physics,12,7.9,9.3,6,4.0,combined,89.8
physics,12,8.6,9.9,6,2.3,practical,90.4
physics,12,8.8,9.9,6,2.0,theory,91.8
physics,12,9.0,10.0,2,3.2,practical,96.4
physics,12,9.0,9.8,6,2.1,combined,93.5
physics,12,9.1,10.0,2,3.8,theory,99.4
physics,12,9.4,10.0,4,3.3,combined,99.4
